,player,seasons,num_seasons
490,Q de Kock,"2013, 2014, 2015, 2016, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",11
491,R Ashwin,"2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",15
492,R Bhatia,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017",10
493,R Bishnoi,2009,1
494,R Dhawan,"2013, 2014, 2015, 2016, 2022, 2023, 2024",7
495,R Dravid,"2007/08, 2009, 2009/10, 2011, 2012, 2013",6
496,R Goyal,2023,1
497,R McLaren,"2009/10, 2011, 2013",3
498,R Ninan,2011,1
499,R Parag,"2019, 2020/21, 2021, 2022, 2023, 2024",6
500,R Powell,"2022, 2023, 2024",3
501,R Rampaul,"2013, 2014",2
502,R Ravindra,2024,1
503,R Sai Kishore,"2022, 2024",2
504,R Sanjay Yadav,2022,1
505,R Sathish,"2009/10, 2011, 2013, 2016",4
506,R Sharma,"2009/10, 2011, 2012, 2013, 2014",5
507,R Shepherd,"2022, 2023, 2024",3
508,R Shukla,"2012, 2013, 2014",3
509,R Tewatia,"2014, 2015, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",10
510,R Vinay Kumar,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",11
511,RA Bawa,2022,1
512,RA Jadeja,"2007/08, 2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",16
513,RA Shaikh,2009,1
514,RA Tripathi,"2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",8
515,RD Chahar,"2017, 2019, 2020/21, 2021, 2022, 2023, 2024",7
516,RD Gaikwad,"2020/21, 2021, 2022, 2023, 2024",5
517,RE Levi,2012,1
518,RE van der Merwe,"2009, 2009/10, 2011, 2012, 2013",5
519,RG More,2015,1
520,RG Sharma,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",17
521,RJ Gleeson,2024,1
522,RJ Harris,"2009, 2009/10, 2011, 2012, 2013",5
523,RJ Peterson,2012,1
524,RJ Quiney,2009,1
525,RJW Topley,"2023, 2024",2
526,RK Bhui,"2018, 2019, 2024",3
527,RK Singh,"2018, 2019, 2020/21, 2022, 2023, 2024",6
528,RM Patidar,"2021, 2022, 2024",3
529,RN ten Doeschate,"2011, 2012, 2013, 2014, 2015",5
530,RP Meredith,"2021, 2022, 2023",3
531,RP Singh,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2016",7
532,RR Bhatkal,2012,1
533,RR Bose,2009,1
534,RR Pant,"2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2024",8
535,RR Powar,"2007/08, 2009, 2009/10, 2011, 2012",5
536,RR Raje,"2007/08, 2009",2
537,RR Rossouw,"2014, 2015, 2023, 2024",4
538,RR Sarwan,2007/08,1
539,RS Bopara,"2009, 2009/10, 2015",3
540,RS Gavaskar,2009/10,1
541,RS Hangargekar,2023,1
542,RS Sodhi,2009/10,1
543,RT Ponting,"2007/08, 2013",2
544,RV Gomez,"2011, 2013",2
545,RV Patel,"2021, 2022, 2023",3
546,RV Uthappa,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022",15
547,RW Price,2011,1
548,Rahmanullah Gurbaz,"2023, 2024",2
549,Ramandeep Singh,"2022, 2024",2
550,Rashid Khan,"2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",8
551,Rasikh Salam,"2019, 2022, 2024",3
552,Ravi Bishnoi,"2020/21, 2021, 2022, 2023, 2024",5
553,S Anirudha,"2007/08, 2009/10, 2011, 2012, 2013, 2014",6
554,S Aravind,"2011, 2012, 2015, 2016, 2017",5
555,S Badree,"2013, 2014, 2017",3
556,S Badrinath,"2007/08, 2009, 2009/10, 2011, 2012, 2013",6
557,S Chanderpaul,2007/08,1
558,S Dhawan,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",17
559,S Dube,"2019, 2020/21, 2021, 2022, 2023, 2024",6
560,S Gopal,"2014, 2015, 2016, 2018, 2019, 2020/21, 2021, 2022, 2024",9
561,S Joseph,2024,1
562,S Kaul,"2013, 2014, 2017, 2018, 2019, 2020/21, 2021, 2022",8
563,S Kaushik,"2016, 2017",2
564,S Ladda,"2009/10, 2011, 2013, 2016",4
565,S Lamichhane,"2018, 2019",2
566,S Midhun,2019,1
567,S Nadeem,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021",11
568,S Narwal,"2009/10, 2013",2
569,S Rana,"2011, 2014",2
570,S Randiv,2011,1
571,S Sandeep Warrier,"2019, 2020/21, 2021, 2024",4
572,S Sohal,"2007/08, 2009, 2011",3
573,S Sreesanth,"2007/08, 2009, 2009/10, 2011, 2013",5
574,S Sriram,"2009/10, 2011",2
575,S Tyagi,"2009, 2009/10",2
576,S Vidyut,2007/08,1
577,SA Abbott,"2015, 2022",2
578,SA Asnodkar,"2007/08, 2009, 2009/10, 2011",4
579,SA Yadav,"2012, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",12
580,SB Bangar,"2007/08, 2009",2
581,SB Dubey,2024,1
582,SB Jakati,"2009, 2009/10, 2011, 2012, 2014, 2016, 2017",7
583,SB Joshi,2007/08,1
584,SB Styris,"2007/08, 2009, 2011",3
585,SB Wagh,"2009/10, 2011",2
586,SC Ganguly,"2007/08, 2009, 2009/10, 2011, 2012",5
587,SC Kuggeleijn,2019,1
588,SD Chitnis,"2007/08, 2009, 2011, 2012",4
589,SD Hope,2024,1
590,SD Lad,2019,1
591,SE Bond,2009/10,1
592,SE Marsh,"2007/08, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017",9
593,SE Rutherford,"2019, 2022",2
594,SH Johnson,2024,1
595,SJ Srivastava,"2009/10, 2011",2
596,SK Raina,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021",13
597,SK Trivedi,"2007/08, 2009, 2009/10, 2011, 2012, 2013",6
598,SK Warne,"2007/08, 2009, 2009/10, 2011",4
599,SL Malinga,"2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2017, 2019",9
600,SM Boland,2016,1
601,SM Curran,"2019, 2020/21, 2021, 2023, 2024",5
602,SM Harwood,2009,1
603,SM Katich,"2007/08, 2009",2
604,SM Pollock,2007/08,1
605,SMSM Senanayake,2013,1
606,SN Khan,"2015, 2016, 2018, 2019, 2020/21, 2021, 2022, 2023",8
607,SN Thakur,"2015, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",9
608,SO Hetmyer,"2019, 2020/21, 2021, 2022, 2023, 2024",6
609,SP Fleming,2007/08,1
610,SP Goswami,"2007/08, 2009, 2009/10, 2011, 2012, 2018, 2020/21",7
611,SP Jackson,"2017, 2022",2
612,SP Narine,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",13
613,SPD Smith,"2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020/21, 2021",9
614,SR Tendulkar,"2007/08, 2009, 2009/10, 2011, 2012, 2013",6
615,SR Watson,"2007/08, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21",12
616,SS Agarwal,2017,1
617,SS Cottrell,2020/21,1
618,SS Iyer,"2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2024",9
619,SS Mundhe,2011,1
620,SS Prabhudessai,"2022, 2023, 2024",3
621,SS Sarkar,2009,1
622,SS Shaikh,2009,1
623,SS Tiwary,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2015, 2016, 2017, 2020/21, 2021",11
624,SSB Magala,2023,1
625,ST Jayasuriya,"2007/08, 2009, 2009/10",3
626,STR Binny,"2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",10
627,SV Samson,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",12
628,SW Billings,"2016, 2017, 2018, 2019, 2022",5
629,SW Tait,"2009/10, 2011, 2012, 2013",4
630,SZ Mulani,2024,1
631,Sachin Baby,"2013, 2016, 2017, 2021",4
632,Salman Butt,2007/08,1
633,Sameer Rizvi,2024,1
634,Sandeep Sharma,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",12
635,Sanvir Singh,"2023, 2024",2
636,Saurav Chauhan,2024,1
637,Shahbaz Ahmed,"2020/21, 2021, 2022, 2023, 2024",5
638,Shahid Afridi,2007/08,1
639,Shakib Al Hasan,"2011, 2012, 2014, 2015, 2016, 2017, 2018, 2019, 2021",9
640,Shashank Singh,"2022, 2024",2
641,Shivam Mavi,"2018, 2020/21, 2021, 2022",4
642,Shivam Sharma,"2014, 2015",2
643,Shivam Singh,2024,1
644,Shoaib Ahmed,2009,1
645,Shoaib Akhtar,2007/08,1
646,Shoaib Malik,2007/08,1
647,Shubman Gill,"2018, 2019, 2020/21, 2021, 2022, 2023, 2024",7
648,Sikandar Raza,"2023, 2024",2
649,Simarjeet Singh,"2022, 2024",2
650,Sohail Tanvir,2007/08,1
651,Sumit Kumar,2024,1
652,Sunny Gupta,2012,1
653,Sunny Singh,2011,1
654,Suyash Sharma,"2023, 2024",2
655,Swapnil Singh,"2016, 2017, 2023, 2024",4
656,T Banton,2020/21,1
657,T Henderson,2009,1
658,T Kohler-Cadmore,2024,1
659,T Kohli,"2007/08, 2009",2
660,T Natarajan,"2017, 2020/21, 2021, 2022, 2023, 2024",6
661,T Shamsi,"2016, 2021",2
662,T Stubbs,"2022, 2023, 2024",3
663,T Taibu,2007/08,1
664,T Thushara,"2009, 2009/10",2
665,TA Boult,"2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",10
666,TD Paine,2011,1
667,TG Southee,"2011, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023",10
668,TH David,"2021, 2022, 2023, 2024",4
669,TK Curran,"2018, 2020/21, 2021",3
670,TL Seifert,"2021, 2022",2
671,TL Suman,"2009, 2009/10, 2011, 2012, 2013",5
672,TM Dilshan,"2007/08, 2009, 2009/10, 2011, 2012, 2013",6
673,TM Head,"2016, 2017, 2024",3
674,TM Srivastava,"2007/08, 2009",2
675,TP Sudhindra,2012,1
676,TR Birt,2011,1
677,TS Mills,"2017, 2022",2
678,TU Deshpande,"2020/21, 2022, 2023, 2024",4
679,Tanush Kotian,2024,1
680,Tejas Baroka,2017,1
681,Tilak Varma,"2022, 2023, 2024",3
682,U Kaul,2007/08,1
683,UA Birla,2013,1
684,UBT Chand,"2011, 2012, 2013, 2014, 2015, 2016",6
685,UT Khawaja,2016,1
686,UT Yadav,"2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2022, 2023, 2024",14
687,Umar Gul,2007/08,1
688,Umran Malik,"2021, 2022, 2023, 2024",4
689,V Kaverappa,2024,1
690,V Kohli,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",17
691,V Pratap Singh,2012,1
692,V Sehwag,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015",8
693,V Shankar,"2014, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",9
694,V Viyaskanth,2024,1
695,VG Arora,"2022, 2023, 2024",3
696,VH Zol,2014,1
697,VR Aaron,"2011, 2012, 2014, 2015, 2016, 2017, 2019, 2020/21, 2022",9
698,VR Iyer,"2021, 2022, 2023, 2024",4
699,VRV Singh,"2007/08, 2009, 2009/10",3
700,VS Malik,"2009, 2009/10, 2011, 2013, 2014",5
701,VS Yeligati,2007/08,1
702,VVS Laxman,"2007/08, 2009, 2009/10, 2011",4
703,VY Mahesh,"2007/08, 2009, 2009/10, 2012",4
704,Vijaykumar Vyshak,"2023, 2024",2
705,Virat Singh,2021,1
706,Vishnu Vinod,"2017, 2023",2
707,Vivrant Sharma,2023,1
708,W Jaffer,"2007/08, 2009",2
709,WA Mota,"2007/08, 2009",2
710,WD Parnell,"2011, 2012, 2013, 2014, 2023",5
711,WG Jacks,2024,1
712,WP Saha,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",17
713,WPUJC Vaas,"2007/08, 2009, 2009/10",3
714,Washington Sundar,"2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",8
715,X Thalaivan Sargunam,2013,1
716,Y Gnaneswara Rao,2011,1
717,Y Nagar,"2009, 2009/10, 2011, 2012",4
718,Y Prithvi Raj,2019,1
719,Y Venugopal Rao,"2007/08, 2009, 2009/10, 2011, 2012, 2014",6
720,YA Abdulla,"2009, 2009/10",2
721,YBK Jaiswal,"2020/21, 2021, 2022, 2023, 2024",5
722,YK Pathan,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",12
723,YS Chahal,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020/21, 2021, 2022, 2023, 2024",12
724,YV Dhull,2023,1
725,YV Takawale,"2007/08, 2009, 2014",3
726,Yash Dayal,"2022, 2023, 2024",3
727,Yash Thakur,"2023, 2024",2
728,Yashpal Singh,2009,1
729,Younis Khan,2007/08,1
730,Yudhvir Singh,"2023, 2024",2
731,Yuvraj Singh,"2007/08, 2009, 2009/10, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019",11
732,Z Khan,"2007/08, 2009, 2009/10, 2011, 2012, 2013, 2014, 2015, 2016, 2017",10
